zona,subzona,distrito,provincia,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,presunta_motivacion,presun_motiva_observada,edad,sexo,etnia,estado_civil,nacionalidad,discapacidad,dia_semana,es_fin_semana,hora,franja_horaria,y
ZONA 1,IMBABURA,CIUDAD BLANCA,IMBABURA,PIMAMPIRO,0.39449,-77.94421,RURAL,FINCA,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,45,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,11,MANANA,ARMA_CONTUNDENTE
ZONA 3,COTOPAXI,LATACUNGA,COTOPAXI,LATACUNGA,-0.87207,-78.63138,RURAL,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,32,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,16,TARDE,OTRAS
ZONA 1,SUCUMBIOS,LAGO AGRIO,SUCUMBIOS,LAGO AGRIO,0.08151,-76.8831,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,66,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,VISUAL,5,1,13,TARDE,ARMA_BLANCA
ZONA 8,D.M. GUAYAQUIL,ESTEROS,GUAYAS,GUAYAQUIL,-2.25678,-79.90713,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,30,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,5,MADRUGADA,ARMA_FUEGO
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,0.91447,-79.69819,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,23,HOMBRE,AFRO,SOLTERO,ECUADOR,NINGUNA,5,1,0,MADRUGADA,OTRAS
ZONA 8,D.M. GUAYAQUIL,DURAN,GUAYAS,DURAN,-2.17747,-79.80599,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,28,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,1,MADRUGADA,ARMA_BLANCA
ZONA 4,MANABI,CHONE,MANABI,CHONE,-0.3987776003666649,-80.08027267875148,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,ROBO A PERSONAS,16,HOMBRE,MONTUBIO/A,SOLTERO,ECUADOR,NINGUNA,6,1,12,TARDE,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,GUAYAS,GUAYAQUIL,-2.12889,-79.97781,URBANO,TERRENO BALDIO,PUBLICO,DELINCUENCIA COMUN,AMENAZA,25,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,12,TARDE,ARMA_CONTUNDENTE
ZONA 1,ESMERALDAS,ATACAMES,ESMERALDAS,ATACAMES,0.87002,-79.81673,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,33,HOMBRE,AFRO,SOLTERO,ECUADOR,NINGUNA,1,0,22,NOCHE,OTRAS
ZONA 2,PICHINCHA,RUMINAHUI - MEJIA,PICHINCHA,MEJIA,-0.42586,-78.78718999999998,RURAL,BOSQUE Y RESERVAS ECOLOGICAS,PUBLICO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,31,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,6,MANANA,ARMA_CONTUNDENTE
ZONA 1,IMBABURA,VALLE DEL AMANECER,IMBABURA,OTAVALO,0.23892,-78.25504,URBANO,RESTAURANTE,PRIVADO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,19,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,22,NOCHE,OTRAS
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,0.96544,-79.64978,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,34,HOMBRE,AFRO,SOLTERO,ECUADOR,NINGUNA,0,0,2,MADRUGADA,OTRAS
ZONA 5,GUAYAS,NARANJAL BALAO,GUAYAS,NARANJAL,-2.71047,-79.6461,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,39,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,15,TARDE,OTRAS
ZONA 9,D.M. QUITO,MANUELA SAENZ,PICHINCHA,QUITO,-0.20927,-78.52404,URBANO,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,52,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,3,MADRUGADA,ARMA_BLANCA
ZONA 7,EL ORO,MACHALA,EL ORO,MACHALA,-3.2641,-79.96379,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,23,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,18,NOCHE,OTRAS
ZONA 8,D.M. GUAYAQUIL,PASCUALES,GUAYAS,GUAYAQUIL,-2.05371,-79.94343,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,28,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,22,NOCHE,OTRAS
ZONA 3,TUNGURAHUA,AMBATO SUR,TUNGURAHUA,AMBATO,-1.28296,-78.75312,RURAL,RIO,PUBLICO,DELINCUENCIA COMUN,AMENAZA,46,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,4,0,4,MADRUGADA,OTRAS
ZONA 1,IMBABURA,CIUDAD BLANCA,IMBABURA,IBARRA,0.58835,-78.14221,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA INTRAFAMILIAR,MALTRATO,0,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,12,TARDE,ARMA_CONTUNDENTE
ZONA 4,MANABI,MANTA,MANABI,MANTA,-0.9884,-80.71317,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),25,MUJER,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,22,NOCHE,ARMA_FUEGO
